Id,Type,Vessel,Dir,Origin,Destination,Dep_Date,Arr_Date,Code,Trip ID
1,CHOPPER,HN,OUT,UTP,JAS,2025-02-01,2025-02-01,N-OUT,C-HN-UTP:02/01 > JAS:02/01
2,CHOPPER,HN,IN,JAS,UTP,2025-02-01,2025-02-01,N-IN,C-HN-JAS:02/01 > UTP:02/01
3,CHOPPER,HN,OUT,UTP,MNA,2025-02-01,2025-02-01,N-OUT,C-HN-UTP:02/01 > MNA:02/01
4,CHOPPER,HN,IN,MNA,UTP,2025-02-01,2025-02-01,N-IN,C-HN-MNA:02/01 > UTP:02/01
5,CHOPPER,HN,OUT,UTP,JAS,2025-02-03,2025-02-03,N-OUT,C-HN-UTP:02/03 > JAS:02/03
6,CHOPPER,HN,IN,JAS,UTP,2025-02-03,2025-02-03,N-IN,C-HN-JAS:02/03 > UTP:02/03
7,CHOPPER,HN,OUT,UTP,MNA,2025-02-03,2025-02-03,N-OUT,C-HN-UTP:02/03 > MNA:02/03
8,CHOPPER,HN,IN,MNA,UTP,2025-02-03,2025-02-03,N-IN,C-HN-MNA:02/03 > UTP:02/03
9,CHOPPER,HS,OUT,SKL,NY,2025-02-05,2025-02-05,S-OUT,C-HS-SKL:02/05 > NY:02/05
10,CHOPPER,HS,IN,NY,SKL,2025-02-05,2025-02-05,S-IN,C-HS-NY:02/05 > SKL:02/05
11,CHOPPER,HS,OUT,SKL,WN,2025-02-05,2025-02-05,S-OUT,C-HS-SKL:02/05 > WN:02/05
12,CHOPPER,HS,IN,WN,SKL,2025-02-05,2025-02-05,S-IN,C-HS-WN:02/05 > SKL:02/05
13,CHOPPER,HS,OUT,SKL,WN,2025-02-07,2025-02-07,S-OUT,C-HS-SKL:02/07 > WN:02/07
14,CHOPPER,HS,IN,WN,SKL,2025-02-07,2025-02-07,S-IN,C-HS-WN:02/07 > SKL:02/07
15,CHOPPER,HN,OUT,UTP,JAS,2025-02-08,2025-02-08,N-OUT,C-HN-UTP:02/08 > JAS:02/08
16,CHOPPER,HN,IN,JAS,UTP,2025-02-08,2025-02-08,N-IN,C-HN-JAS:02/08 > UTP:02/08
17,CHOPPER,HN,OUT,UTP,MNA,2025-02-08,2025-02-08,N-OUT,C-HN-UTP:02/08 > MNA:02/08
18,CHOPPER,HN,IN,MNA,UTP,2025-02-08,2025-02-08,N-IN,C-HN-MNA:02/08 > UTP:02/08
19,CHOPPER,HS,OUT,SKL,NY,2025-02-08,2025-02-08,S-OUT,C-HS-SKL:02/08 > NY:02/08
20,CHOPPER,HS,IN,NY,SKL,2025-02-08,2025-02-08,S-IN,C-HS-NY:02/08 > SKL:02/08
21,CHOPPER,HN,OUT,UTP,JAS,2025-02-10,2025-02-10,N-OUT,C-HN-UTP:02/10 > JAS:02/10
22,CHOPPER,HN,IN,JAS,UTP,2025-02-10,2025-02-10,N-IN,C-HN-JAS:02/10 > UTP:02/10
23,CHOPPER,HS,OUT,SKL,NY,2025-02-12,2025-02-12,S-OUT,C-HS-SKL:02/12 > NY:02/12
24,CHOPPER,HS,IN,NY,SKL,2025-02-12,2025-02-12,S-IN,C-HS-NY:02/12 > SKL:02/12
